Month,College,High School,Work,House
2004-01,97,47,20,53
2004-02,84,46,20,51
2004-03,87,48,20,52
2004-04,86,45,21,52
2004-05,82,46,20,53
2004-06,81,37,19,53
2004-07,78,31,18,54
2004-08,91,45,18,52
2004-09,94,56,20,52
2004-10,100,55,21,56
2004-11,95,51,21,52
2004-12,83,44,19,50
2005-01,93,51,21,52
2005-02,83,49,21,51
2005-03,84,50,21,53
2005-04,83,49,21,55
2005-05,83,50,21,57
2005-06,83,38,19,53
2005-07,76,32,18,55
2005-08,92,46,18,53
2005-09,87,60,20,53
2005-10,87,58,21,55
2005-11,88,53,20,52
2005-12,78,44,19,52
2006-01,92,53,21,52
2006-02,78,54,20,51
2006-03,82,54,21,53
2006-04,81,49,20,53
2006-05,76,52,20,55
2006-06,74,40,19,54
2006-07,71,33,18,56
2006-08,86,47,19,53
2006-09,89,65,20,53
2006-10,85,58,20,57
2006-11,83,54,19,51
2006-12,74,44,19,50
2007-01,87,52,21,53
2007-02,76,52,20,52
2007-03,76,51,20,53
2007-04,78,47,21,53
2007-05,73,49,22,55
2007-06,71,38,21,52
2007-07,69,33,20,54
2007-08,85,55,20,51
2007-09,88,67,22,51
2007-10,82,60,22,56
2007-11,80,53,21,52
2007-12,71,45,21,50
2008-01,81,49,23,53
2008-02,75,49,23,52
2008-03,74,45,24,52
2008-04,77,47,25,52
2008-05,68,47,23,54
2008-06,67,36,23,54
2008-07,65,30,23,52
2008-08,81,46,23,50
2008-09,86,57,24,54
2008-10,80,60,24,57
2008-11,82,51,25,54
2008-12,73,45,23,53
2009-01,82,50,26,58
2009-02,72,48,25,57
2009-03,78,51,25,60
2009-04,74,44,25,58
2009-05,71,47,25,57
2009-06,66,38,26,53
2009-07,64,31,25,53
2009-08,79,45,24,52
2009-09,87,59,26,55
2009-10,81,55,27,58
2009-11,77,50,26,52
2009-12,69,41,25,50
2010-01,82,47,28,52
2010-02,73,47,27,50
2010-03,73,48,28,54
2010-04,73,44,28,51
2010-05,69,46,26,53
2010-06,63,35,25,49
2010-07,60,27,25,51
2010-08,75,42,25,50
2010-09,79,53,25,50
2010-10,75,48,26,58
2010-11,73,45,25,51
2010-12,64,36,24,48
2011-01,83,50,30,55
2011-02,74,49,29,57
2011-03,71,48,30,57
2011-04,72,43,30,55
2011-05,69,46,29,59
2011-06,67,36,29,56
2011-07,63,30,29,57
2011-08,79,47,28,54
2011-09,88,59,30,55
2011-10,79,54,31,60
2011-11,81,50,31,54
2011-12,69,41,30,57
2012-01,81,49,33,59
2012-02,69,48,32,58
2012-03,68,47,32,57
2012-04,70,43,31,57
2012-05,65,48,31,58
2012-06,60,34,31,58
2012-07,58,29,29,58
2012-08,72,49,31,56
2012-09,78,57,32,57
2012-10,78,54,32,60
2012-11,80,48,31,54
2012-12,63,39,30,54
2013-01,75,46,33,59
2013-02,64,47,32,60
2013-03,63,44,31,59
2013-04,67,44,33,58
2013-05,62,45,32,57
2013-06,56,34,32,59
2013-07,57,29,32,62
2013-08,71,48,32,58
2013-09,75,58,34,56
2013-10,69,51,34,64
2013-11,67,46,33,56
2013-12,61,41,32,54
2014-01,69,47,35,59
2014-02,62,44,34,62
2014-03,63,45,34,60
2014-04,61,42,35,60
2014-05,59,46,35,62
2014-06,54,34,33,63
2014-07,52,27,32,63
2014-08,66,45,32,60
2014-09,71,55,34,57
2014-10,70,50,33,61
2014-11,68,44,33,57
2014-12,62,36,33,56
2015-01,68,44,35,58
2015-02,60,41,35,59
2015-03,62,43,34,62
2015-04,60,39,34,62
2015-05,56,42,34,62
2015-06,53,32,35,60
2015-07,49,27,35,65
2015-08,61,46,35,63
2015-09,73,55,38,60
2015-10,72,50,37,64
2015-11,69,44,35,58
2015-12,58,36,34,59
2016-01,63,40,38,64
2016-02,58,42,42,71
