activity_year,state_code,county_code,action_taken,aus_1,loan_purpose,applicant_sex,occupancy_type,construction_method,census_tract,debt_to_income_ratio,loan_to_value_ratio,income,loan_amount,total_units,applicant_age,intro_rate_period
2018,IL,Missing,Loan originated,Not applicable,Refinancing,Male,Principal residence,Site-built,17019010601,0.25,1581,154000,185000,1,50,NA
2018,IL,Missing,Application denied,Loan Propspector (LP) or Loan Product Advisor,Cash-out refinancing,Female,Principal residence,Site-built,17019001203,0.7000000000000001,987,10000,115000,1,40,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Cash-out refinancing,Female,Principal residence,Site-built,17019010400,0.1,429,88000,105000,1,50,NA
2018,IL,Missing,Loan originated,Loan Propspector (LP) or Loan Product Advisor,Home purchase,Male,Principal residence,Site-built,17019010800,0.37,1751,66000,255000,1,30,NA
2018,IL,Missing,Loan originated,Technology Open to Approved Lenders (TOTAL) Scorecard,Home purchase,Male,Principal residence,Site-built,17019001302,0.46,1733,89000,255000,1,50,NA
2018,IL,Coles,Loan originated,Desktop Underwriter (DU),Cash-out refinancing,information not provided by applicant,Principal residence,Site-built,17029000600,0.46,1580,81000,95000,1,60,NA
2018,IL,Missing,Loan originated,Technology Open to Approved Lenders (TOTAL) Scorecard,Cash-out refinancing,Male,Principal residence,Site-built,17019010700,0.43,980,61000,205000,1,40,NA
2018,IL,Coles,Application denied,Technology Open to Approved Lenders (TOTAL) Scorecard,Cash-out refinancing,Male,Principal residence,Site-built,17029001000,0.25,1399,57000,105000,1,50,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019001204,0.45,860,84000,235000,1,30,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019010603,0.41000000000000003,309,76000,105000,1,50,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Female,Principal residence,Site-built,17019010601,0.325,1751,160000,275000,1,30,NA
