SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
124094,0,Cash loans,F,Y,Y,2,180000,9.00E+05,57649.5,9.00E+05,Unaccompanied,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,Accountants,4
122342,0,Cash loans,M,Y,Y,0,135000,265536,10944,180000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,High skill tech staff,2
111557,1,Cash loans,M,Y,Y,0,141750,517266,28188,387000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Security staff,2
127071,0,Cash loans,F,Y,Y,0,135000,781920,25101,675000,Family,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
125126,0,Cash loans,F,N,Y,1,711000,1258650,53455.5,1125000,Other_B,State servant,Higher education,Separated,House / apartment,1,0,Managers,2
133904,0,Cash loans,F,N,Y,0,180000,314100,15241.5,225000,Unaccompanied,Pensioner,Higher education,Married,House / apartment,1,0,,2
123962,0,Cash loans,F,Y,Y,0,,500211,30730.5,463500,Unaccompanied,Working,Higher education,Married,House / apartment,1,0,Core staff,2
124259,0,Cash loans,M,N,N,0,225000,931500,33588,931500,Unaccompanied,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,0,Laborers,1
133396,0,Cash loans,M,N,N,0,180000,450000,17095.5,450000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
134986,0,Cash loans,F,N,Y,0,67500,61263,4869,49500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,2
107525,0,Cash loans,M,N,N,0,193500,191880,21780,180000,Unaccompanied,Working,Incomplete higher,Married,House / apartment,1,0,,2
135531,0,Cash loans,F,N,Y,2,,83538,7789.5,67500,Children,Working,Secondary / secondary special,Married,House / apartment,1,0,,4
125996,0,Cash loans,M,Y,Y,0,90000,74628,7834.5,67500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
106179,0,Cash loans,F,N,Y,0,292500,1057266,44923.5,945000,Family,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,0,,1
126144,0,Cash loans,F,N,N,0,135000,1078200,28570.5,9.00E+05,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,2
112511,0,Cash loans,F,N,N,0,58500,417024,21420,360000,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,,1
134036,0,Cash loans,F,N,Y,0,252000,9.00E+05,45954,9.00E+05,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
120331,0,Cash loans,M,N,N,1,279000,471951,37287,471951,Family,State servant,Higher education,Married,House / apartment,1,0,High skill tech staff,3
113206,0,Cash loans,F,N,Y,0,121500,588465,32053.5,468000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,1,Core staff,2
130458,0,Cash loans,M,Y,N,0,180000,830214,24403.5,693000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
113818,0,Cash loans,F,N,Y,0,135000,163512,13045.5,135000,Children,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
109517,0,Cash loans,F,N,Y,0,270000,1325475,59256,1125000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
122273,0,Cash loans,M,Y,Y,0,157500,450346.5,24561,342000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,High skill tech staff,2
114898,0,Cash loans,F,N,N,0,54000,450000,24412.5,450000,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,1,0,Core staff,2
102814,0,Cash loans,M,Y,N,0,315000,1800000,56650.5,1800000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Managers,2
116945,0,Cash loans,F,N,Y,0,225000,876816,42313.5,720000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
132097,0,Cash loans,F,N,Y,0,67500,148140,9193.5,112500,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,,1
101123,0,Cash loans,F,Y,Y,0,54000,188685,8122.5,157500,Family,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
124854,0,Cash loans,M,Y,Y,0,90000,814041,23931,679500,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,,1
121738,1,Cash loans,F,N,Y,0,56025,238500,12307.5,238500,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,Cleaning staff,2
129762,0,Cash loans,F,N,Y,1,135000,675000,36616.5,675000,Family,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,3
108117,1,Cash loans,M,Y,Y,2,225000,94230,6502.5,67500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,,4
126772,0,Cash loans,M,N,Y,0,135000,264888,30087,234000,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,Drivers,1
115589,0,Cash loans,F,Y,Y,0,180000,490495.5,30136.5,454500,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,Laborers,2
133689,0,Cash loans,M,N,Y,0,90000,414612,,297000,Family,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
126163,0,Cash loans,F,N,N,0,135000,248760,25488,225000,Family,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
114451,0,Cash loans,F,N,Y,3,112500,1288350,37800,1125000,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,1,0,Core staff,5
109165,0,Cash loans,F,N,Y,0,171000,9.00E+05,57649.5,9.00E+05,Family,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
125918,0,Cash loans,M,N,Y,0,225000,225000,16371,225000,Unaccompanied,Commercial associate,Higher education,Single / not married,Office apartment,1,0,Laborers,1
134284,0,Cash loans,M,N,Y,0,270000,942300,24984,675000,Unaccompanied,Working,Higher education,Single / not married,House / apartment,1,0,Managers,1
114178,0,Cash loans,F,N,N,0,270000,9.00E+05,41706,9.00E+05,Unaccompanied,Working,Higher education,Married,House / apartment,1,0,,2
125348,0,Cash loans,F,N,Y,0,117000,781920,25542,675000,Family,Pensioner,Secondary / secondary special,Married,House / apartment,1,1,,2
114029,1,Cash loans,M,Y,Y,1,292500,1675413,58365,1530000,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,House / apartment,1,1,Drivers,2
124488,0,Cash loans,F,N,N,0,180000,521280,25078.5,450000,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,,1
124900,0,Cash loans,F,N,Y,0,202500,1097676,35541,958500,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,House / apartment,1,0,Sales staff,1
124982,0,Cash loans,M,N,N,1,112500,349609.5,21253.5,265500,Unaccompanied,Working,Secondary / secondary special,Civil marriage,With parents,1,0,Security staff,3
106505,0,Cash loans,F,N,N,1,112500,130320,14161.5,112500,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,1,1,Core staff,2
127848,0,Cash loans,M,N,Y,0,63000,254700,14751,225000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
113400,0,Cash loans,F,N,N,0,67500,254700,24939,225000,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,,1
